group_key,group_key_type,file_id,n_candidates,n_with_datetime,is_selected,analysis_updated_datetime,workflow_type,workflow_version,workflow_mixed_flag,tie_break_applied,reason_code,api_fetch_status,dataset
"C3N-03003, C3N-03003",case_id,6385a258-1dfb-440f-9fa7-3b20ac77dee8,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03025, C3N-03025",case_id,cb12f3bd-a4bf-492d-92cd-223e59ddbb1b,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03070, C3N-03070",case_id,b827d512-5b71-4f76-b7a9-9e67df3a2edc,1,1,TRUE,2022-08-24T12:10:00.269155-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03088, C3N-03088",case_id,badc6c41-47fc-4340-a73e-b781c1abc1a7,1,1,TRUE,2022-08-24T12:16:43.378647-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03180, C3N-03180",case_id,e7d426a2-5d38-4c3f-9eb1-e5ff855b97b6,1,1,TRUE,2022-08-24T11:51:30.530724-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03182, C3N-03182",case_id,fe4d4b00-faf4-4190-84f1-19fe0c5c4a64,1,1,TRUE,2022-08-24T12:25:15.990761-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03183, C3N-03183, C3N-03183",case_id,ca158add-fe07-4ea9-ab05-469d6b59d1a9,2,2,TRUE,2022-08-24T12:16:07.919369-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,tie_break_by_file_id,ok,WXS
"C3N-03183, C3N-03183, C3N-03183",case_id,ca158add-fe07-4ea9-ab05-469d6b59d1a9,2,2,FALSE,2022-08-24T12:16:07.919369-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,not_selected,ok,WXS
"C3N-03184, C3N-03184",case_id,4569da00-59e1-4037-93c9-2c71beb6a80d,1,1,TRUE,2022-08-24T12:07:30.842839-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03186, C3N-03186",case_id,5d2fde67-d2d5-4ca7-906e-129100364994,1,1,TRUE,2022-08-24T11:37:21.351541-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
