study,model_used,n_total,n_mut,n_wt,beta_TP53,se_TP53,t_val,p_val,ci_lo,ci_hi,r_squared
GDC_TCGA,LAG3_log2tpm ~ tp53_bin + idh_bin,245,79,166,0.37503040804088944,0.09567477011499945,3.919846450533503,1.1539232881547646e-4,0.18750785861549052,0.5625529574662884,0.08804747966845675
GDC_CPTAC_HCMI,LAG3_log2tpm ~ tp53_bin + idh_bin,197,68,129,0.13521157062371897,0.07348190996544884,1.8400660882017816,0.0672863580607916,-0.008812972908560757,0.2792361141559987,0.05769372691310599
GLASS_WXS,LAG3_log2tpm ~ tp53_bin,79,24,55,0.4967233297327902,0.15569991844333006,3.190260693126709,0.0020571272134580474,0.1915514895838633,0.8018951698817172,0.11674724042001215
