study,type,n_mut,n_wt,beta,se,ci_lo,ci_hi,p_val,I2,tau2
GDC_TCGA,individual,79,166,0.37503040804088944,0.09567477011499945,0.18750785861549052,0.5625529574662884,1.1539232881547646e-4,NA,NA
GDC_CPTAC_HCMI,individual,68,129,0.13521157062371897,0.07348190996544884,-0.008812972908560757,0.2792361141559987,0.0672863580607916,NA,NA
GLASS_WXS,individual,24,55,0.4967233297327902,0.15569991844333006,0.1915514895838633,0.8018951698817172,0.0020571272134580474,NA,NA
Pooled_Fixed_Effect,pooled,NA,NA,0.25767855691020525,0.054579246758771204,0.1507051989596892,0.3646519148607213,2.344780152214986e-6,69.87608511386699,0
Pooled_Random_Effect,pooled,NA,NA,0.30802413332824397,0.10708837829577963,0.09813476870571508,0.5179134979507729,0.004022976833842945,69.02661468135112,0.023105827913051782
