source,n,beta,ci_lower,ci_upper,se,se_adj,p_value,r_squared,sd,sd_label,sig_label
TCGA,245,0.375,0.1866,0.5635,0.0957,1.4975,1.1539232881547646e-4,0.088,0.5433,WT SD = 0.543,***
CPTAC/HCMI,197,0.1352,-0.0097,0.2801,0.0735,1.0314,0.0672863580607916,0.0577,0.4859,WT SD = 0.486,ns
