tp53_label,n,tcell_median,tcell_Q1,tcell_Q3,apm_median,apm_Q1,apm_Q3,ifng_median,ifng_Q1,ifng_Q3,lag3_median
TP53 Mut,147,1.128,0.76,1.539,6.841,6.365,7.307,3.087,2.48,3.77,1.022
TP53 WT,295,1.13,0.762,1.627,6.874,6.408,7.339,3.153,2.62,3.682,0.734
