gene,n_mut,n_wt,log2FC_mean,median_diff_log2,log2FC_medianTPM,cliffs_delta,wilcox_p,wilcox_p_BH
LAG3,147,295,0.310749100062249,0.28825248035412,0.28825248035412,0.289334716937623,7.12733550139438e-07,4.98913485097606e-06
TIGIT,147,295,0.0596242517656944,0.0746942621166475,0.0746942621166475,0.0655136630923557,0.261736541373557,0.458038947403726
PDCD1LG2,147,295,-0.00248113573243991,0.0550491107338624,0.0550491107338625,0.00537299665628962,0.926951873999678,0.926951873999678
CTLA4,147,295,-0.0840453156810304,-0.0162632434492646,-0.0162632434492646,-0.0481494292632307,0.4095237058763,0.477777656855683
PDCD1,147,295,-0.113289659336802,-0.196450897475803,-0.196450897475803,-0.125469848956532,0.0315749711668063,0.110512399083822
CD274,147,295,-0.119861641572403,-0.134877843253063,-0.134877843253063,-0.0524386025596679,0.369061841538922,0.477777656855683
HAVCR2,147,295,-0.16852028032517,0.00761599475211572,0.00761599475211555,-0.0723394442522772,0.215246363171692,0.458038947403726
