gene,n_mut,n_wt,log2FC_mean,median_diff_log2,log2FC_medianTPM,cliffs_delta,wilcox_p,wilcox_p_BH
LAG3,24,55,0.49672332973279,0.573474142184474,0.573699363689848,0.395454545454545,0.00548705675329188,0.0384093972730432
PDCD1,24,55,0.0875432886946138,0.0541664808962862,0.0543667172064298,0.121969696969697,0.39329313210092,0.932024118226651
TIGIT,24,55,0.0791134351193092,0.0025165916903761,0.00258218460624966,0.0590909090909091,0.681504200465325,0.932024118226651
CTLA4,24,55,0.0678691564943443,0.187319090328672,0.187595255507426,0.0128787878787879,0.932024118226651,0.932024118226651
PDCD1LG2,24,55,0.0234652759242104,0.154297341133357,0.157672434568233,0.0212121212121212,0.885571157196962,0.932024118226651
HAVCR2,24,55,-0.0398197036218928,-0.00299850063262408,9.13157551045612e-05,-0.0333333333333333,0.818720646079933,0.932024118226651
CD274,24,55,-0.0770135820054803,-0.0218876708692795,-0.0214939849961494,-0.0363636363636364,0.802192321466371,0.932024118226651
