pair_id,HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANGIOGENESIS,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_APOPTOSIS,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_G2M_CHECKPOINT,HALLMARK_GLYCOLYSIS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_HYPOXIA,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYOGENESIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_P53_PATHWAY,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PEROXISOME,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PROTEIN_SECRETION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SPERMATOGENESIS,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_UP,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_XENOBIOTIC_METABOLISM
1,0.9573687987515894,0.6691048928773685,0.9049013478883806,0.7511466099796862,0.813202661068731,0.67907891984836255,0.9006582658297366,0.7500378819755091,0.9368348316057431,0.6484259416749628,0.7794333588166833,0.9641623979280655,0.8759669467822682,0.809528655771387,0.785073675260414,0.7400395502348872,0.8813076111926194,0.8569070913398404,0.8344318008535763,0.8969539404425027,0.8557005437454378,0.8445134537426529,0.7798532281550223,0.7154312985923027,0.6799957266412491,0.8730272098450004,0.7975530655062298,0.39766931831145264,0.751622054836529,0.9187197580855171,0.9857693851296333,1.0679051879583212,0.9436930255688591,0.7343146146266261,0.9733815333164029,1.0682637906376788,0.8717334989635267,0.46524477459340546,0.8672152377270194,0.891781174238173,1.0121338163983569,0.9598735680285263,0.48169903183574414,0.999957346474869,0.8478935169899897,1.008091901220186,0.8932639516120588,0.9137430219450644,0.8313683789190924,0.7479204278325968
2,0.9752471651168891,0.7160240480577886,0.9226983547665164,0.7563138028854035,0.8319527104829232,0.6929877089663904,0.9173340222119388,0.7687993803573451,0.9524083223227541,0.6389566942805868,0.8036833516144485,0.970067008939939,0.8327037674004868,0.8417402553339953,0.8185084189417128,0.782149981811914,0.8985234430917499,0.8003328753041896,0.8492999498059147,0.916751231560749,0.8472982553715832,0.8709204795418422,0.8274778465200459,0.7384204651046304,0.7140896258787292,0.9016236224976756,0.8365569927240966,0.42105833051433494,0.7905052777952456,0.8752955215399703,0.9906209963260116,1.0672584694758893,0.9404918535479131,0.7759402828971561,0.9738299321097268,1.0851415563794256,0.9088980198401153,0.5657525830544189,0.8724398392891516,0.9062887439577062,1.0098569339083645,1.0020463036352845,0.5032404778306758,0.9831305589453413,0.8570256221408779,1.0053575486253805,0.9012330366573688,0.9293953165633587,0.8673363786934316,0.7568943913712475
3,0.9337688267036863,0.6463117433216861,0.9183754319418346,0.7473169135537236,0.8180007488873097,0.6841771244516961,0.8775560783415541,0.7037846517844601,0.9255313422857765,0.604716323824598,0.7479133750224102,0.9759372350609098,0.9516470207477604,0.7923706940333619,0.7810372151988575,0.7492186934828654,0.8548021194928159,0.9351379476949507,0.8361730443787241,0.927359814103723,0.8427798887771011,0.8315952043526241,0.7628585827503845,0.6619097102710332,0.6387557019196151,0.8528071258691664,0.7712788088684773,0.40624645227099865,0.741379211277764,0.9596679057328863,0.9840207797142753,1.0872057307126461,0.9621291926314095,0.7326201548092047,0.9301137836476155,1.0560353500947546,0.8788649762074381,0.5745149738678176,0.8510323079050444,0.9004852264319846,1.0057082517539389,0.9531253649436144,0.528313649740967,0.9755581008409729,0.7785706645594603,1.011003943793041,0.8991839010348314,0.9160852099836333,0.8871207518335948,0.7289888641719551
4,0.9639006493396374,0.6566866036657767,0.9313518123489192,0.7890138339257944,0.8178361777277043,0.724942887218783,0.8999801617287274,0.7817858207466083,0.9571682508185241,0.6299994316242223,0.7798046415602775,0.9686498652952715,0.9634719801690143,0.8468799637356408,0.8100807799624015,0.7849117874803038,0.8955261074120351,0.9549551254007977,0.8619606276729855,0.9027779978074275,0.8658965893750317,0.8583807296379721,0.7987681930460475,0.6759339793622228,0.6798120659980356,0.8793878936219341,0.8011565463066276,0.43027509015861076,0.7751142417687743,0.9612781766640642,1.0013478026476132,1.0801026929453326,0.9476137380377834,0.7684642215326084,0.9914519206805469,1.0561318199382403,0.8752502755999795,0.5427502256880193,0.8799320379323742,0.9138799220338635,1.0217536369468436,0.9662901320335809,0.5538721957255393,0.9907713875643139,0.8029113404876651,1.0021455783466446,0.9179389291668849,0.9301958465304203,0.8886106128310874,0.7488512081619949
5,0.947690662406768,0.6614507448577163,0.8996766145192068,0.7880646544618005,0.7878532563611444,0.7015180435786578,0.9091699103950723,0.7541191955019296,0.9318987621155044,0.6287843349705764,0.7717855173202266,0.9826836062471758,0.9249771904124777,0.8203763853076147,0.7753357170402576,0.7610032274803208,0.8751113320794831,0.8958072975611968,0.8358566555093894,0.7968359288833715,0.8323685915097843,0.8428500988289896,0.7811475330041107,0.6994367662241789,0.6576012343802622,0.9865498666281165,0.8653671944051025,0.3734638955838017,0.7158520390545524,0.9294742252095017,0.9888932732523104,1.0719269896234536,0.9515088179063526,0.7068944089799204,0.9545836178067324,1.0700185872414707,0.8772811463774426,0.33554730628891993,0.8729837430760703,0.899171244563659,0.9952336078779328,0.941209020092297,0.4865480450041889,0.9534954232061695,0.8269328365079407,0.9979758052163612,0.8849722875297438,0.9019348852688638,0.8583396967200948,0.7405392496119624
6,0.9627161011912844,0.6497928113727034,0.9159435157499161,0.7676671322176902,0.8189524686250593,0.7039860493414528,0.9076259002896251,0.7270028612396243,0.9251352856603859,0.6383752995817403,0.779606163835643,0.9726080969689264,0.8697828137203969,0.8330306885800896,0.7999559733834817,0.7554872166382415,0.8794054638394723,0.8485632806981647,0.8398058533408569,0.9362983578540666,0.8609070364305081,0.8739446799203633,0.7959533744659614,0.7235106252765177,0.6784124499441294,0.8767111849743464,0.7983186672578982,0.41927025486487085,0.738148863521548,0.9232533051003816,0.9801855916435048,1.0693255308786278,0.9376437436619619,0.7528698045319694,0.9648344338057411,1.0797709967671631,0.8901704322681424,0.5155695476785006,0.8659300529343309,0.9027903722953009,1.0148833796602192,0.9797043468413292,0.5018944274271757,1.0033495040600215,0.8290974476243627,1.0168845402743814,0.9068949091287789,0.9199727127939293,0.8810399354711722,0.7478478375907106
7,0.9135775263494381,0.5881402054540946,0.9108487517968781,0.7076841061064718,0.8062966891971158,0.6570161326695696,0.853472886865618,0.6862380991812527,0.924911489268835,0.5827172298380701,0.7333054348478093,0.9704546218873342,0.8983674446384846,0.7549579030600753,0.7627167246301341,0.7130993679435692,0.8376794384047102,0.8808195754885643,0.8073287925685331,0.9237966312453936,0.8259047543575122,0.8177008467851503,0.7472521410090353,0.6504455585913659,0.5946317188902212,0.828318848356768,0.7520014504532504,0.38292449479761104,0.7195535748062517,0.9356033274978149,0.9640824471664569,1.0751247732878437,0.9653983537456509,0.696332406500877,0.915020612021727,1.0365030729687645,0.8541447999142361,0.571938634068475,0.8221173235797389,0.870583103294542,1.0103846342008684,0.9259699619890307,0.5066203600443423,0.9624491346913124,0.768500462284836,1.002398092876864,0.8805402897817745,0.907882238631349,0.8728107428228681,0.7094817130126725
8,0.9397389486422902,0.5712250910867538,0.9030863507613618,0.688427292839932,0.8264239520891401,0.6928201770854402,0.8533266013120602,0.732256046385574,0.9180322844740552,0.6096622653856181,0.7360500460297164,0.9386582205906484,0.7839223130615869,0.7623690851017684,0.802851126743499,0.7578918555906655,0.8874397665504797,0.7697124959198077,0.8210627795528648,0.9412099190285835,0.8519456247128431,0.8299017363061723,0.7430427833573141,0.5920605047171009,0.5993710550181388,0.7859971939082422,0.7127585780895855,0.4941703367760226,0.7269417541549896,0.8853685041668922,0.9648319836959277,1.036893212547377,0.905457417928579,0.7732072871392531,0.8817369693038069,1.0726166743679257,0.8548509670543849,0.5427240721459528,0.883256110724655,0.8912349046637086,1.0020093820482947,0.9912272590908668,0.5809714106979146,0.9327977917178295,0.7552946324588022,0.9788379021484103,0.9090119727675284,0.9180872017252524,0.8029841886644964,0.7380891129704991
9,0.9568095380493561,0.7262969379209986,0.9242660921898431,0.7900866101068816,0.8588508741215998,0.7622342089017667,0.9355189397995525,0.7586077238595944,0.9640940225660506,0.6821830434431935,0.8157873702000199,0.9508130787633312,0.8663274328854559,0.8646693821098818,0.844564798040294,0.8324538098835174,0.8975398041764515,0.8600452194909959,0.8668020288175494,0.951048890142693,0.8607481541747668,0.8889799898549298,0.811271272268587,0.7331488373501713,0.7411141781359543,0.9125097635937213,0.8514244279660784,0.5370991372391423,0.8052136012334787,0.9211980832486442,0.99565003203536,1.0597132386538957,0.9302160892443873,0.8034100004116115,0.9657802089581695,1.0711528774906505,0.9115059628508242,0.6158771498874477,0.8972114470929172,0.9201786593304798,1.0020844861102944,0.9950153666848003,0.5776208044396693,0.9971119250546541,0.8836211184628705,0.9995253924167377,0.9424391823768258,0.9468220439809882,0.8746390679212177,0.762481817662454
10,0.9385557288681582,0.7216654186592635,0.8924012519416331,0.8069562546908927,0.8100059091160423,0.6758562999599189,0.9050898544519681,0.7168728993617741,0.9309152904747616,0.6503035011180174,0.8027469962478977,0.9866764566627144,0.9565306789051623,0.8321920248267463,0.7812267024289121,0.7722927184138328,0.8791743031092355,0.9207993733677882,0.8479852800319828,0.8915473954253764,0.8212794974130186,0.8587761801182161,0.8223285648264537,0.7475952909676621,0.7043159551431859,0.8934490641682175,0.8215464751798998,0.4090356931243091,0.7698351432114107,0.9036283595574305,0.983067833499117,1.086108517920969,0.9687560264539365,0.7542647044695868,0.9204094096052072,1.0765048460645141,0.8953113547448265,0.6051837795525399,0.845962399532188,0.87977577345696,0.9635541693901648,0.9634665455559069,0.5313108990458946,0.9617905135891932,0.8421001136821875,0.99548059538387,0.8560446927972732,0.9316967247922837,0.856020022351749,0.7361956754699024
