pair_id,HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANGIOGENESIS,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_APOPTOSIS,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_G2M_CHECKPOINT,HALLMARK_GLYCOLYSIS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_HYPOXIA,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYOGENESIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_P53_PATHWAY,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PEROXISOME,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PROTEIN_SECRETION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SPERMATOGENESIS,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_UP,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_XENOBIOTIC_METABOLISM
GLSS-19-0267-TP,0.8001554089006733,0.49572589409001644,0.7551844769983769,0.6968881913762549,0.678339175554165,0.46906109635871884,0.7107316842349943,0.534079710657605,0.7925958358634146,0.5318702163198785,0.6154057357413468,0.7771437172605195,0.7001285627816342,0.7162345130168344,0.5750467843795243,0.5696782431258521,0.7198168577974112,0.7091372773432012,0.688052407898119,0.7315472556185152,0.6700391497966542,0.7045138078593893,0.6076268940147607,0.5336383753214358,0.48294675787566116,0.6864542611745538,0.6316417936081096,0.22603455587700672,0.5739805094999667,0.788905093252157,0.831548140897773,0.9390850567967906,0.7227747847720968,0.629221242281435,0.8025735427470819,0.9261764248626093,0.6828091895412195,0.3424596163025232,0.7109503475340753,0.7462312918543427,0.8580326899976575,0.8318873900953949,0.3460567039267657,0.785235455764865,0.5881962766909801,0.8300062695259538,0.7449358791636101,0.713525420544456,0.6957159206802991,0.5915269079719425
GLSS-19-0268-TP,0.781253865752096,0.4602756421592042,0.7308086911206693,0.6983924950781951,0.6568245269685639,0.46944147533667424,0.7224991685518929,0.4619914234032069,0.750022467274534,0.5276176111674924,0.5901968915121145,0.7886105778871554,0.7844484320810816,0.7304249238793131,0.5541187988746907,0.5342383035986711,0.6616162689021111,0.7923989684547248,0.692876106493156,0.7261176766429455,0.6556004093095866,0.7561285518887346,0.5869922313808784,0.5353572408777104,0.4742685522384683,0.6385231829103478,0.5898137386381348,0.20807193324859657,0.5517197505191505,0.8287783561199166,0.8187459149268538,0.965223166670477,0.7811050569761415,0.6049498229764868,0.757295497519696,0.9014526287678373,0.6940014374642192,0.3708653570015651,0.6375938143164602,0.7487117351221005,0.8537525150317571,0.8237892374268182,0.35204352405404676,0.8055496373378751,0.6561122106552294,0.8431092480806545,0.7407583093473256,0.7037769167434342,0.6497780801176074,0.5517061365257216
GLSS-19-0269-TP,0.7706145989960272,0.5293643819226775,0.7578823255597387,0.6701805827667195,0.6695397430153085,0.46758491318152073,0.7241822913231002,0.47766057679527774,0.7757976626650351,0.5231193159562681,0.6443540360761097,0.786884553550955,0.7861796388852331,0.6769629088516571,0.5703764096444951,0.5480064075695581,0.6676900558840947,0.7872042394919275,0.6492599160413848,0.7501081166827912,0.6529540832516236,0.6791748193023369,0.6113517467715541,0.5462822262769881,0.49501107074464384,0.776621613257899,0.6952986181064172,0.23676898874521507,0.5722639568991235,0.82853841123791,0.8094902946047773,0.9667997442764245,0.7609862640532392,0.5980986245094844,0.7646750505712194,0.9023527630206735,0.6832302179892991,0.31420662265002236,0.6594126179299846,0.7446700296514898,0.8466362523527927,0.8143542398987483,0.36390016372381684,0.7910458694290247,0.6303958409286786,0.8284054005037185,0.7319695338029942,0.717570405821013,0.6808576497748878,0.5473094387197077
GLSS-19-0271-TP,0.7991761284413939,0.5120728559719211,0.757880642488105,0.7354505880563171,0.6823548403468892,0.49649124876618034,0.7469174366821328,0.5201914943736726,0.7573449177707625,0.5489630018133963,0.647304651021762,0.7562123104799277,0.6664934459810079,0.7587072550225191,0.594426705688032,0.5635560754864783,0.6955663654106052,0.6761554567680317,0.6703758663841982,0.7295878905301612,0.6672563789727296,0.7421905450803173,0.6310052521516389,0.5826710249783459,0.5292448737387386,0.7243751337613479,0.6695156699685131,0.23641194042685137,0.5907056582407698,0.7910526993308832,0.8092921636407916,0.9258397453145146,0.7591811435825075,0.6412033670787911,0.7964824898884069,0.9289372861992505,0.6973651829178997,0.36776282111710457,0.6776075016827311,0.7536522831764707,0.8567674043140405,0.832776368180423,0.33893359897000064,0.8341151951147567,0.6835609703933248,0.8415352702154569,0.7765576318909652,0.7207197904990692,0.6838930023595738,0.5929149491617054
GLSS-19-0272-TP,0.7888785945840934,0.6035378757859535,0.819510679455561,0.8040259861182825,0.7010259506029454,0.55789613993270315,0.8094242415405147,0.4712741795146675,0.7861060113786272,0.5907079981389003,0.6840516135269206,0.817032528004915,0.849085611033159,0.8974318243707387,0.6101364211859006,0.6023008824650699,0.6807986716469075,0.8382922638004966,0.7513816493188358,0.7279824694264293,0.6518083198554644,0.8038018181588581,0.6967037867662392,0.6838173274760444,0.6224476801865041,0.803368523235672,0.761392872890115,0.1857493380736806,0.647805346047916,0.8324979640995519,0.8784116865334565,1.0125460198383427,0.8528071538399231,0.6189587293400022,0.7641077077439629,0.9222452042239296,0.7733655731608122,0.26328574235314073,0.6606219181639287,0.7727500485862131,0.8655810030518243,0.880236652301235,0.36001814168013885,0.8887848048735806,0.7920709353563073,0.8946880761508429,0.8137036628999559,0.7486942962764754,0.6854073651688398,0.6014300639913545
GLSS-19-0273-TP,0.8188270361609725,0.6047710708571998,0.7809131044145884,0.7655142986893086,0.707732471147586,0.5080038341472536,0.804937635556065,0.5192832807170464,0.7997341543923607,0.6042636683212006,0.7108089396946545,0.8007404601637039,0.7619955496365924,0.8595409218473007,0.6357467458101653,0.6177083631030219,0.708208007051599,0.7418849537616788,0.766213701109381,0.6907120541891064,0.6831114595273956,0.8375294893700636,0.6856114653647568,0.7090846333345594,0.6352779012053453,0.8224713135682851,0.7743431695364067,0.21563903264482387,0.636552441582269,0.8048568662568645,0.8706571590139518,0.9699821361361064,0.7791552334503523,0.6471094547109559,0.7326113400817722,0.9270649845934565,0.7604011241702603,0.28879248890772224,0.6903363775382391,0.7612178613794971,0.8626133748977362,0.8995458287648171,0.3426694972852446,0.851884792960093,0.8233812833672984,0.8634968991284043,0.7991839095810938,0.7534737545255271,0.6348856887738263,0.6365825040163917
GLSS-19-0274-TP,0.7934716647442391,0.6017149820186534,0.787348504651144,0.7649360445477965,0.719854988032394,0.5317180808483375,0.7944562187784623,0.5088470857689177,0.8236869824701192,0.5976468189374607,0.7089759172970013,0.762931465275249,0.6732418939508148,0.8232012287178712,0.6343832774889225,0.6086187916281931,0.7019670338841695,0.6899940286806812,0.6755513981272933,0.7348879481423931,0.710565099380952,0.7874913842874811,0.6749692413275022,0.6692886107638754,0.6034867083012826,0.7295359060555698,0.7080424881395057,0.28098781362852526,0.6546126649501457,0.8047724404939368,0.8461138542018154,0.9372208564331311,0.7537244112542809,0.6865371752659711,0.7606957453636902,0.9066182702293442,0.7331892543988963,0.36895794532918313,0.6761350133110199,0.7686130606238056,0.8462205895455841,0.8649699466960202,0.374761400397853,0.8515951480473918,0.762963631440839,0.8499060937122938,0.8120713303298966,0.7431709525129183,0.7036524706792452,0.6179182408103173
GLSS-19-0278-TP,0.8053387027142809,0.5438535372414594,0.7698318961917879,0.6978202256561462,0.6760166010837565,0.4606122296867795,0.7696863232002377,0.5007414453068569,0.7898706314180012,0.5675390371938823,0.6581185850395764,0.7740189338336232,0.7092634078612664,0.7720041417198437,0.5937743943141315,0.5758483050288923,0.6804266447810785,0.7249876245002852,0.720560077154326,0.6840663765423138,0.6831611229114752,0.8118878781578919,0.6462863867468077,0.5935403584649042,0.5335578780794448,0.7240622098736941,0.6785724728731748,0.24180552606217756,0.5963495891253469,0.800530726539482,0.8490320341102973,0.9442175430131218,0.7608103732480445,0.6380482634705769,0.7572496916343625,0.9035236037262923,0.7290887671879728,0.3282950103478259,0.6749736272228322,0.7606889322757671,0.8782039241474754,0.8667089135402595,0.3456375454919643,0.8303006970958814,0.7218706188446103,0.8726488970055148,0.7631197376031119,0.7348585124235621,0.6606338635174729,0.5870649454998436
GLSS-19-0279-TP,0.6996571725721951,0.40197071746996405,0.6840300370688788,0.49909490551233754,0.6118205420161978,0.46161018193483644,0.6224186742632078,0.4211745431345195,0.7177793083792486,0.3840230339265856,0.5210026914155936,0.8169846469021578,0.9710770653469097,0.5674772363801079,0.5260588979548214,0.5285941800973398,0.632795699920666,0.9411338513732572,0.6420515446078909,0.7307983618814878,0.6128694250836568,0.6142123057701039,0.5137248179171224,0.40930819196995205,0.3320809411234123,0.5314224257096606,0.4939195387159305,0.25708439639818514,0.44745413029859865,0.8909120873135491,0.7857737577702631,1.0046587861536669,0.7986216313726243,0.5200180468556195,0.6102848120460893,0.8647281452433738,0.5994228553840433,0.48698059297441326,0.6518872061652429,0.7290389272480986,0.7951458643592004,0.7528897638608825,0.4528635847866553,0.694376930946714,0.4847455661937489,0.8060293757333709,0.6805138192540742,0.6694736622101165,0.6425830628454148,0.4793726146469645
GLSS-19-0280-TP,0.7933582927023668,0.49318071964914856,0.7799591820464367,0.7200303699499284,0.6882410361530927,0.5152685018989052,0.7553532578294001,0.49179545879332875,0.8247071901122797,0.5324419899861467,0.6232450401255841,0.7932015697998327,0.7338938484826266,0.7666448338550418,0.5895120922914695,0.5621588229803812,0.7020258518456526,0.7416738343352685,0.7040684791614054,0.7366940428225106,0.6566026857545904,0.7681859652590982,0.6330882751414384,0.56828927251749906,0.5122004566333028,0.7716269101225751,0.6843462441032491,0.2024182903389122,0.5823734185838366,0.8130976673949502,0.8413496159963046,0.9702947650922753,0.7656416720725624,0.6113858186196324,0.772226440100503,0.9341089964889157,0.7093516992293392,0.23855838859897904,0.6553848584591918,0.7623271930900023,0.8744712352923555,0.8235657888770888,0.34134937247347064,0.8200055696142021,0.6903367824831984,0.8510072452350642,0.7738026460485629,0.7087015707457017,0.6979956805255778,0.579908403215883
