"comparison","beta_base","beta_adjusted","delta_beta_pct","p_adjusted","n","purity_corr_pearson"
"ESTIMATE purity adj.",0.384295320158828,0.334137022004602,-13.0520189872455,9.66313313894998e-06,234,0.727926700056092
"ABSOLUTE purity adj.",0.384295320158828,0.336804371340777,-12.3579305619498,1.61354212798083e-05,234,0.727926700056092
