"model","term","beta","se","ci_lo","ci_hi","p","delta_beta_pct"
"base (immune-adjusted)","TP53mutant",0.384295320158828,0.0781352707015914,0.230339357741873,0.538251282575783,1.66613439886835e-06,0
"base + ESTIMATE purity","TP53mutant",0.334137022004602,0.0738193498262295,0.188681662891206,0.479592381117997,9.66313313894998e-06,-13.0520189872455
"base + ABSOLUTE purity","TP53mutant",0.336804371340777,0.0764241119920217,0.186216528439294,0.48739221424226,1.61354212798083e-05,-12.3579305619498
