File ID,File Name,Data Category,Data Type,Project ID,Case ID,Sample ID,Tissue Type,Tumor Descriptor,Specimen Type,Preservation Method
2bc6cfaf-ba90-4386-b0ac-67d5615dbd09,cef2dea1-d483-40ee-967a-d1512c31eb5d.wxs.aliquot_ensemble_masked.maf.gz,Simple Nucleotide Variation,Masked Somatic Mutation,HCMI-CMDC,"HCM-BROD-0922-C71, HCM-BROD-0922-C71","HCM-BROD-0922-C71-10A, HCM-BROD-0922-C71-85A","Normal, Tumor","Not Applicable, Primary","Peripheral Whole Blood, Adherent Cell Line","Frozen, Frozen"
dff288d4-6fea-4a41-a9d1-127230428f9d,e3c3286c-7e91-4801-af5b-6ba48183ae15.wxs.aliquot_ensemble_masked.maf.gz,Simple Nucleotide Variation,Masked Somatic Mutation,HCMI-CMDC,"HCM-BROD-0831-C71, HCM-BROD-0831-C71","HCM-BROD-0831-C71-10A, HCM-BROD-0831-C71-85B","Normal, Tumor","Not Applicable, Primary","Peripheral Whole Blood, Adherent Cell Line","Frozen, Frozen"
ebe9cfc5-7a6d-48f3-bd8c-1e32b0c2c188,64f8eec7-79ed-42bb-8f43-43772cbfacf2.wxs.aliquot_ensemble_masked.maf.gz,Simple Nucleotide Variation,Masked Somatic Mutation,HCMI-CMDC,"HCM-BROD-0831-C71, HCM-BROD-0831-C71","HCM-BROD-0831-C71-10A, HCM-BROD-0831-C71-01A","Normal, Tumor","Not Applicable, Primary","Peripheral Whole Blood, Unknown","Frozen, Frozen"
b53efd5b-4e10-4446-860b-8769ce21df45,5cfe46da-2a0b-4166-ac0a-c13114429270.wxs.aliquot_ensemble_masked.maf.gz,Simple Nucleotide Variation,Masked Somatic Mutation,CPTAC-3,"C3N-01815, C3N-01815","C3N-01815-71, C3N-01815-01","Normal, Tumor","Not Applicable, Primary","Peripheral Blood Components NOS, Solid Tissue","Frozen, Snap Frozen"
b441d130-bb6f-4526-8cba-481e3c2a540a,029e4dd9-610c-49c2-b513-0b782612b75e.wxs.aliquot_ensemble_masked.maf.gz,Simple Nucleotide Variation,Masked Somatic Mutation,CPTAC-3,"C3L-00677, C3L-00677","C3L-00677-31, C3L-00677-72","Normal, Tumor","Not Applicable, Primary","Peripheral Blood Components NOS, Solid Tissue","Frozen, Snap Frozen"
