File ID,File Name,Data Category,Data Type,Project ID,Case ID,Sample ID,Tissue Type,Tumor Descriptor,Specimen Type,Preservation Method
7d2860b9-d6fe-4d92-a349-6545dea48311,c6b53ece-179d-4eb7-b4e0-7e5ba2a06a03.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,HCMI-CMDC,HCM-BROD-0418-C71,HCM-BROD-0418-C71-01A,Tumor,Primary,Solid Tissue,Frozen
2bc6cfaf-ba90-4386-b0ac-67d5615dbd09,cef2dea1-d483-40ee-967a-d1512c31eb5d.wxs.aliquot_ensemble_masked.maf.gz,Simple Nucleotide Variation,Masked Somatic Mutation,HCMI-CMDC,"HCM-BROD-0922-C71, HCM-BROD-0922-C71","HCM-BROD-0922-C71-10A, HCM-BROD-0922-C71-85A","Normal, Tumor","Not Applicable, Primary","Peripheral Whole Blood, Adherent Cell Line","Frozen, Frozen"
6eec8fd8-772f-4ffc-b591-193227f9477b,3a7fd71e-9336-46e0-8106-3df32aed7c20.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,HCMI-CMDC,HCM-BROD-0796-C71,HCM-BROD-0796-C71-85A,Tumor,Primary,3D Neurosphere,Frozen
