term,beta,se,t_val,p_val,ci_lo,ci_hi,subset,r_squared
(Intercept),0.80874636764515,0.041828241562862786,19.334935857384824,1.335701682693726e-60,0.7267630141819389,0.890729721108361,Grade4_all,0.08271921351841616
tp53_class4Hotspot,0.3572134114229312,0.10435754609571603,3.422976342269466,6.779025150710795e-4,0.1526726210753278,0.5617542017705346,Grade4_all,0.08271921351841616
tp53_class4Truncating,0.25728189728045386,0.12485779890372982,2.0605993341179123,0.03993396065853817,0.012560611429143415,0.5020031831317643,Grade4_all,0.08271921351841616
tp53_class4Other_missense,0.22484502308578314,0.07344404112074032,3.061446778454675,0.0023388963907577617,0.08089470248913211,0.36879534368243416,Grade4_all,0.08271921351841616
source_bin,0.11346066420288249,0.05586884446815329,2.030839643865519,0.04287753444398871,0.003957729045302047,0.22296359936046295,Grade4_all,0.08271921351841616
idh_bin,0.25023013800516136,0.11467184398561568,2.182141049694378,0.02963223895932038,0.025473323793354624,0.4749869522169681,Grade4_all,0.08271921351841616
