model,subset,n,beta_tp53,ci_lower,ci_upper,se,t_value,p_value,r_squared,adj_r_squared
TP53_only,Grade4_all,442,0.31074910006224854,0.19418266282402552,0.42731553730047156,0.059310170691783196,5.239389744418651,2.5039714549793894e-7,0.058725284278920646,0.05658602356137277
TP53+source,Grade4_all,442,0.3079452147679081,0.19172826261419246,0.42416216692162373,0.059131977664681104,5.2077611290826225,2.943833748730764e-7,0.06703592455556427,0.06278551874488347
TP53+source+IDH,Grade4_all,442,0.261693402200319,0.14045230593336028,0.38293449846727773,0.061687907099367605,4.242215606030858,2.7024072179389612e-5,0.07990597004043505,0.07360395613660242
TP53+source,Grade4_IDH_wildtype,410,0.25919156513466246,0.13732492450795175,0.38105820576137317,0.06199310049417393,4.180974383738414,3.556274855291178e-5,0.05145437679159267,0.04679321893798882
