pair_id,StromalScore,ImmuneScore,ESTIMATEScore,TumorPurity
GLSS.19.0267.TP,1.73323172803526,28.8165012994283,30.5497330274636,0.819950636205808
GLSS.19.0268.TP,-8.20605578470834,38.3046639421502,30.0986081574418,0.8199885409446326
GLSS.19.0269.TP,-23.1896844842073,52.3534115083811,29.1637270241738,0.8200670807537573
GLSS.19.0271.TP,-0.00303125446343316,30.4935514362379,30.4905201817745,0.8199556116351857
GLSS.19.0272.TP,7.78681924686038,22.9288123032923,30.7156315501527,0.8199366960563671
GLSS.19.0273.TP,1.13821616941116,29.3983136940847,30.5365298634959,0.8199517456226392
GLSS.19.0274.TP,-16.8925706084507,46.392747088901,29.5001764804503,0.8200388172535084
GLSS.19.0278.TP,-10.3672705746553,40.3954596135029,30.0281890388476,0.8199944574261038
GLSS.19.0279.TP,-4.03981927206255,34.3339872365886,30.294167964526,0.8199721099191403
GLSS.19.0280.TP,2.58603395771361,27.9857733076708,30.5718072653844,0.8199487813760132
GLSS.CU.P003.TP,-8.20567575867315,38.2723984848232,30.0667227261501,0.8199912199092596
GLSS.CU.P021.TP,-0.848107731246421,31.2602536090399,30.4121458777935,0.8199621970334982
GLSS.CU.P046.TP,-10.3344028045599,40.3265519135021,29.9921491089422,0.8199974853991165
GLSS.CU.P053.TP,-27.2955195648731,56.0393059818978,28.7437864170248,0.8201023551376126
GLSS.CU.P055.TP,-33.5860019326265,61.5196549166117,27.9336529839853,0.8201703963314116
GLSS.CU.P069.TP,-6.69758575949609,36.9149659579873,30.2173801984912,0.8199785617433464
GLSS.CU.P101.TP,-24.7107403079941,53.5612049121407,28.8504646041466,0.8200933946244643
GLSS.CU.P102.TP,-2.67363405848599,33.077831728729,30.404197670243,0.819962864875315
GLSS.CU.R001.TP,-24.2910085841826,53.4263016295814,29.1352930453988,0.8200694692638635
GLSS.CU.R002.TP,-4.08317737156181,34.3986886577126,30.3155112861508,0.8199703166024839
GLSS.CU.R003.TP,-5.48960916812812,35.8249182262351,30.335309058107,0.8199686531393922
GLSS.CU.R004.TP,-8.90767647112234,39.0645571237924,30.1568806526701,0.8199836449332889
GLSS.CU.R005.TP,-11.6446841094003,41.588363358428,29.9436792490277,0.8200015576635183
GLSS.CU.R006.TP,-17.2722007997307,46.4988655819286,29.2266647821978,0.8200617938075675
GLSS.CU.R007.TP,-7.09331354381562,37.2932099879751,30.1998964441595,0.8199800307402606
GLSS.CU.R008.TP,-4.44605017776321,34.6660996591725,30.2200494814093,0.8199783374679073
GLSS.CU.R009.TP,-2.11305828006819,32.5301534863263,30.4170952062581,0.8199617811695471
GLSS.CU.R010.TP,5.64388368926874,25.0174130774412,30.66129676671,0.8199412617623913
GLSS.CU.R012.TP,-10.0341905003686,40.1566453765998,30.1224548762312,0.8199865373684576
GLSS.CU.R019.TP,-26.0123719567481,54.695456767636,28.6830848108878,0.820107453724102
GLSS.HF.1DDC.TP,-7.33897089113705,37.4696817461716,30.1307108550345,0.8199858437074801
GLSS.HF.4D9A.TP,-15.6578357047751,45.431990373087,29.7741546683119,0.8200158001864464
GLSS.HF.9A7A.TP,-18.8443213323724,48.2996350976759,29.4553137653035,0.8200425860699552
GLSS.HF.50F3.TP,-24.8242907380365,53.743245032728,28.9189542946915,0.8200876416763044
GLSS.HF.57AE.TP,-7.84404128081653,37.9922505193488,30.1482092385322,0.8199843735028006
GLSS.HF.2548.TP,-14.4915087726174,44.1440609609528,29.6525521883355,0.8200260162452782
GLSS.HF.2869.TP,-30.3999968404023,58.8018971152804,28.4019002748781,0.8201310707617556
GLSS.HF.2919.TP,-23.9774344397655,52.8040990758779,28.8266646361124,0.8200953937377918
GLSS.HF.2934.TP,-39.9860729606196,67.1651945969805,27.1791216363609,0.8202337572056628
GLSS.HF.3050.TP,-18.9160853456684,48.2836196743061,29.3675343286376,0.8200499601214085
GLSS.HF.3081.TP,-22.8874719154168,52.0639920538273,29.1765201384105,0.8200660061023559
GLSS.HF.3162.TP,-12.8317064801952,42.6568307267441,29.8251242465489,0.8200115180561861
GLSS.HF.6504.TP,-23.1317881284952,52.280443954259,29.1486558257638,0.8200683467658265
GLSS.HF.6658.TP,-15.2148334777527,45.0210029090532,29.8061694313004,0.8200131105210251
GLSS.HF.B972.TP,-23.8095349385804,52.8075647578881,28.9980298193077,0.8200809994437116
GLSS.HF.BCDE.TP,-16.3505116438304,45.9550923463046,29.6045807024741,0.8200300463504442
GLSS.HF.DE05.TP,2.95375185949121,27.6305415544259,30.5842934139171,0.8199477321998402
GLSS.HF.DF35.TP,-10.4030714394555,40.3781715902645,29.975100150809,0.8199989177963795
GLSS.HF.EE74.TP,-10.6361283700997,40.6347127504175,29.9985843803177,0.8199969447274934
GLSS.LU.0B10.TP,-12.1789693103831,40.7038366069555,28.5248672965724,0.8201207427811087
GLSS.LU.0B12.TP,-10.7753270680055,40.7373333104072,29.9620062424017,0.8200000178999148
GLSS.LU.0B13.TP,-17.975203857582,47.4599588447034,29.4847549871214,0.8200401127827124
GLSS.LU.00B9.TP,-0.308439238128207,30.8051990486557,30.4967598105275,0.8199550873459213
GLSS.LU.00C1.TP,-5.44675824991208,35.6095107085825,30.1627524586705,0.8199831515852254
GLSS.LU.00C2.TP,-4.34482299348845,34.4038609600793,30.0590379665908,0.819991865568187
GLSS.MD.LP04.TP,-11.4758689859928,41.3121514679185,29.8362824819257,0.8200105806081797
GLSS.SM.R056.TP,-11.4669000171757,41.286476786949,29.8195767697733,0.820011984121091
GLSS.SM.R060.TP,-29.1072433914192,57.6617603173388,28.5545169259196,0.8201182524734619
GLSS.SM.R061.TP,-30.8270523651033,59.1066220370406,28.2795696719373,0.8201413450245584
GLSS.SM.R063.TP,-27.9778904083966,56.4976843223276,28.519793913931,0.8201211688989968
GLSS.SM.R064.TP,-24.8521314161273,53.6964951941774,28.8443637780502,0.8200939070732813
GLSS.SM.R065.TP,-11.5670868670644,41.4408139423552,29.8737270752908,0.8200074347219695
GLSS.SM.R066.TP,-12.6087014051791,42.4558717741716,29.8471703689925,0.820009665871096
GLSS.SM.R067.TP,-30.0836577859375,58.4337267611656,28.350068975228,0.8201354239843409
GLSS.SM.R068.TP,11.6427516407967,18.7080396229274,30.3507912637241,0.8199673522771938
GLSS.SM.R070.TP,-8.67241960138166,38.819989591839,30.1475699904573,0.819984427212172
GLSS.SM.R071.TP,8.0464401430831,22.627982457487,30.6744226005701,0.8199401588144211
GLSS.SM.R072.TP,-10.7015946694705,40.685854570818,29.9842599013475,0.8199981482249714
GLSS.SM.R095.TP,-26.4614928411024,55.1479172829777,28.6864244418753,0.8201071732159609
GLSS.SM.R099.TP,-19.2825340390578,48.7822169849264,29.4996829458685,0.8200388587144392
GLSS.SM.R100.TP,0.447100945786167,30.0147729911376,30.4618739369238,0.8199580186475504
GLSS.SM.R101.TP,-15.089134027424,44.7871125374561,29.6979785100321,0.8200221999229664
GLSS.SM.R103.TP,-2.91670269135435,33.3098826141234,30.393179922769,0.8199637906309364
GLSS.SM.R104.TP,-9.21644045101195,39.2190673098549,30.0026268588429,0.8199966050905604
GLSS.SM.R106.TP,-20.9704318046242,50.2116298405844,29.2411980359602,0.8200605729640059
GLSS.SM.R107.TP,-24.2803331108964,53.2826614757635,29.002328364867,0.820080638368778
GLSS.SM.R108.TP,-4.04231229425337,34.3091607016822,30.2668484074288,0.8199744053615736
GLSS.SM.R109.TP,-17.5268757143762,47.0941569344507,29.5672812200745,0.8200331798679091
GLSS.SM.R110.TP,-17.9864799405324,47.4293028299525,29.4428228894201,0.8200436353941962
