pair_id,StromalScore,ImmuneScore,ESTIMATEScore,TumorPurity
GLSS-19-0267-TP,-466.171746339674,-2.67681098365012,-468.848557323324,0.8596737374059974
GLSS-19-0268-TP,-1287.2388578358,-573.43547614965,-1860.67433398545,0.9454374030867223
GLSS-19-0269-TP,-1095.0916650843,380.582392183212,-714.509272901085,0.8775319637802574
GLSS-19-0271-TP,-158.265192362605,460.228519509289,301.963327146684,0.7965000294744791
GLSS-19-0272-TP,583.53621391632,880.913849905166,1464.45006382149,0.6822566790860447
GLSS-19-0273-TP,435.276250820072,1029.4064522265,1464.68270304657,0.6822317121099958
GLSS-19-0274-TP,530.873444109043,1583.03334431647,2113.90678842552,0.6095653068826818
GLSS-19-0278-TP,-630.329570163781,397.758247540672,-232.57132262311,0.8414428324722586
GLSS-19-0279-TP,-1883.45671537725,-1423.92790813333,-3307.38462351058,0.9928681884652097
GLSS-19-0280-TP,-805.921706247933,-325.051758041256,-1130.97346428919,0.9051884488083773
GLSS-CU-P003-TP,-223.166419544876,600.913454447096,377.74703490222,0.7897247855367647
GLSS-CU-P021-TP,322.514140916212,819.431744998729,1141.94588591494,0.71609018877766
GLSS-CU-P046-TP,-292.176151100947,543.89074759651,251.714596495564,0.8009380942416374
GLSS-CU-P053-TP,161.553866427345,1694.63537702508,1856.18924345243,0.6391111852172832
GLSS-CU-P055-TP,-767.904759143457,779.638864055454,11.7341049119974,0.8215285220759707
GLSS-CU-P069-TP,-583.736963693009,231.74972686619,-351.987236826818,0.8507847372406713
GLSS-CU-P101-TP,256.39268811043,1633.35518553264,1889.74787364307,0.6353147754516733
GLSS-CU-P102-TP,-1048.61773544721,-396.48545558299,-1445.1031910302,0.9238168615110445
GLSS-CU-R001-TP,-484.237367715216,927.46758158526,443.230213870044,0.7837916988388338
GLSS-CU-R002-TP,47.1011256723129,669.741448308787,716.8425739811,0.758224076847777
GLSS-CU-R003-TP,-588.653128574411,143.088440981859,-445.564687592551,0.8579227578532634
GLSS-CU-R004-TP,25.2948650963557,912.204798239311,937.499663335667,0.7367120523390039
GLSS-CU-R005-TP,-783.834606324944,175.150241242308,-608.684365082636,0.8699776187473081
GLSS-CU-R006-TP,-898.995765239193,58.8918237350604,-840.103941504133,0.8862226593997974
GLSS-CU-R007-TP,14.6029148184519,845.899555787324,860.502470605776,0.7443075218114817
GLSS-CU-R008-TP,-839.163026683839,-297.382829767073,-1136.54585645091,0.905535788568429
GLSS-CU-R009-TP,-1170.79010888988,-620.430025987744,-1791.22013487762,0.942066734115788
GLSS-CU-R010-TP,306.393354492083,598.423171022124,904.816525514206,0.7399476666452308
