data,model,beta,se,lo,hi,p
raw,M0 (TP53+source+IDH),0.261693402200319,0.0616879070993676,0.14045230593336,0.382934498467278,2.70240721793896e-05
raw,M1 (+Tcell+APM),0.262405404319028,0.0536426726342555,0.156975030596692,0.367835778041365,1.40862346177584e-06
ComBat,M0 (TP53+source+IDH),0.243378184679817,0.0616853304089616,0.122142152626969,0.364614216732665,9.27338895664797e-05
ComBat,M1 (+Tcell+APM),0.241574225680881,0.0547226890174884,0.134021166318199,0.349127285043564,1.27791242658291e-05
