model,beta_tp53_base,beta_tp53_test,delta_beta_pct,p_tp53,r2_adj
Base（Purityなし）,0.2664988415761026,0.2664988415761026,0,9.300234414870742e-7,0.3034235538427501
Base（Purityあり）,0.2664988415761026,0.2405840715274458,-9.724158609993982,3.2389452623494952e-06,0.3711704161517885
Base + HALLMARK_G2M_CHECKPOINT,0.2664988415761026,0.20073344259531686,-16.564117765204074,1.1139123586631867e-4,0.3885609700286179
Base + top2,0.2664988415761026,0.1980604518170382,-17.675160055455496,1.3840439019083595e-4,0.3889708704586188
Base + top3,0.2664988415761026,0.19734371445427373,-17.973075606644727,1.4379773403833015e-4,0.3903957997110252
